County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
ADAMS,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
ALLEGHENY,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
ARMSTRONG,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
BEAVER,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
BEDFORD,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
BERKS,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
BLAIR,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
BRADFORD,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
BUCKS,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
BUTLER,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
CAMBRIA,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
CAMERON,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
CARBON,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
CENTRE,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
CHESTER,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
CLARION,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
CLEARFIELD,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
CLINTON,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
COLUMBIA,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
CRAWFORD,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
CUMBERLAND,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
DAUPHIN,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
DELAWARE,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
ELK,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
ERIE,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
FAYETTE,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
FOREST,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
FRANKLIN,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
FULTON,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
GREENE,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
HUNTINGDON,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
INDIANA,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
JEFFERSON,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
JUNIATA,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
LACKAWANNA,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
LANCASTER,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
LAWRENCE,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
LEBANON,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
LEHIGH,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
LUZERNE,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
LYCOMING,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
McKEAN,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
MERCER,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
MIFFLIN,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
MONROE,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
MONTGOMERY,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
MONTOUR,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
NORTHAMPTON,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
NORTHUMBERLAND,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
PERRY,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
PHILADELPHIA,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
PIKE,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
POTTER,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
SCHUYLKILL,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
SNYDER,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
SOMERSET,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
SULLIVAN,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
SUSQUEHANNA,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
TIOGA,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
UNION,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
VENANGO,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
WARREN,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
WASHINGTON,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
WAYNE,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
WESTMORELAND,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
WYOMING,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
YORK,"SHAPIRO , JOSHUA  D",DEM,0,0,0,0,0.00
ADAMS,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
ALLEGHENY,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
ARMSTRONG,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
BEAVER,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
BEDFORD,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
BERKS,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
BLAIR,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
BRADFORD,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
BUCKS,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
BUTLER,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
CAMBRIA,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
CAMERON,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
CARBON,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
CENTRE,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
CHESTER,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
CLARION,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
CLEARFIELD,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
CLINTON,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
COLUMBIA,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
CRAWFORD,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
CUMBERLAND,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
DAUPHIN,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
DELAWARE,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
ELK,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
ERIE,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
FAYETTE,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
FOREST,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
FRANKLIN,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
FULTON,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
GREENE,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
HUNTINGDON,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
INDIANA,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
