County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
ADAMS,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
ALLEGHENY,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
ARMSTRONG,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
BEAVER,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
BEDFORD,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
BERKS,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
BLAIR,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
BRADFORD,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
BUCKS,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
BUTLER,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
CAMBRIA,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
CAMERON,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
CARBON,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
CENTRE,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
CHESTER,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
CLARION,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
CLEARFIELD,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
CLINTON,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
COLUMBIA,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
CRAWFORD,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
CUMBERLAND,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
DAUPHIN,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
DELAWARE,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
ELK,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
ERIE,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
FAYETTE,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
FOREST,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
FRANKLIN,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
FULTON,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
GREENE,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
HUNTINGDON,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
INDIANA,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
JEFFERSON,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
JUNIATA,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
LACKAWANNA,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
LANCASTER,"BIDEN, JOSEPH  ROBINETTE",DEM,0,0,0,0,0.00
