County,Candidate Name,Party,Votes,% of Vote
ADAMS,"SHAPIRO , JOSHUA  D",DEM,"6,913",100.00
ALLEGHENY,"SHAPIRO , JOSHUA  D",DEM,"206,119",100.00
ARMSTRONG,"SHAPIRO , JOSHUA  D",DEM,"4,624",100.00
BEAVER,"SHAPIRO , JOSHUA  D",DEM,"20,091",100.00
BEDFORD,"SHAPIRO , JOSHUA  D",DEM,"2,154",100.00
BERKS,"SHAPIRO , JOSHUA  D",DEM,"36,738",100.00
BLAIR,"SHAPIRO , JOSHUA  D",DEM,"7,165",100.00
BRADFORD,"SHAPIRO , JOSHUA  D",DEM,"2,703",100.00
BUCKS,"SHAPIRO , JOSHUA  D",DEM,"75,672",100.00
BUTLER,"SHAPIRO , JOSHUA  D",DEM,"15,520",100.00
CAMBRIA,"SHAPIRO , JOSHUA  D",DEM,"13,665",100.00
CAMERON,"SHAPIRO , JOSHUA  D",DEM,305,100.00
CARBON,"SHAPIRO , JOSHUA  D",DEM,"5,133",100.00
CENTRE,"SHAPIRO , JOSHUA  D",DEM,"15,722",100.00
CHESTER,"SHAPIRO , JOSHUA  D",DEM,"67,112",100.00
CLARION,"SHAPIRO , JOSHUA  D",DEM,"2,421",100.00
CLEARFIELD,"SHAPIRO , JOSHUA  D",DEM,"5,450",100.00
CLINTON,"SHAPIRO , JOSHUA  D",DEM,"2,705",100.00
COLUMBIA,"SHAPIRO , JOSHUA  D",DEM,"4,550",100.00
CRAWFORD,"SHAPIRO , JOSHUA  D",DEM,"4,484",100.00
CUMBERLAND,"SHAPIRO , JOSHUA  D",DEM,"24,116",100.00
DAUPHIN,"SHAPIRO , JOSHUA  D",DEM,"31,053",100.00
DELAWARE,"SHAPIRO , JOSHUA  D",DEM,"68,115",100.00
ELK,"SHAPIRO , JOSHUA  D",DEM,"2,817",100.00
ERIE,"SHAPIRO , JOSHUA  D",DEM,"30,809",100.00
FAYETTE,"SHAPIRO , JOSHUA  D",DEM,"10,482",100.00
FOREST,"SHAPIRO , JOSHUA  D",DEM,357,100.00
FRANKLIN,"SHAPIRO , JOSHUA  D",DEM,"8,250",100.00
FULTON,"SHAPIRO , JOSHUA  D",DEM,501,100.00
GREENE,"SHAPIRO , JOSHUA  D",DEM,"3,466",100.00
HUNTINGDON,"SHAPIRO , JOSHUA  D",DEM,"2,336",100.00
INDIANA,"SHAPIRO , JOSHUA  D",DEM,"6,514",100.00
JEFFERSON,"SHAPIRO , JOSHUA  D",DEM,"2,168",100.00
JUNIATA,"SHAPIRO , JOSHUA  D",DEM,"1,142",100.00
LACKAWANNA,"SHAPIRO , JOSHUA  D",DEM,"30,038",100.00
LANCASTER,"SHAPIRO , JOSHUA  D",DEM,"41,305",100.00
LAWRENCE,"SHAPIRO , JOSHUA  D",DEM,"7,792",100.00
LEBANON,"SHAPIRO , JOSHUA  D",DEM,"8,586",100.00
LEHIGH,"SHAPIRO , JOSHUA  D",DEM,"36,540",100.00
LUZERNE,"SHAPIRO , JOSHUA  D",DEM,"28,487",100.00
LYCOMING,"SHAPIRO , JOSHUA  D",DEM,"6,622",100.00
McKEAN,"SHAPIRO , JOSHUA  D",DEM,"1,857",100.00
MERCER,"SHAPIRO , JOSHUA  D",DEM,"8,190",100.00
MIFFLIN,"SHAPIRO , JOSHUA  D",DEM,"1,889",100.00
MONROE,"SHAPIRO , JOSHUA  D",DEM,"13,443",100.00
MONTGOMERY,"SHAPIRO , JOSHUA  D",DEM,"137,755",100.00
MONTOUR,"SHAPIRO , JOSHUA  D",DEM,"1,451",100.00
NORTHAMPTON,"SHAPIRO , JOSHUA  D",DEM,"30,819",100.00
NORTHUMBERLAND,"SHAPIRO , JOSHUA  D",DEM,"5,164",100.00
PERRY,"SHAPIRO , JOSHUA  D",DEM,"2,520",100.00
