County,Candidate Name,Party,Votes,% of Vote
ADAMS,"CONKLIN, HARRY   SCOTT",DEM,733,10.77
ALLEGHENY,"CONKLIN, HARRY   SCOTT",DEM,"2,492",1.10
ARMSTRONG,"CONKLIN, HARRY   SCOTT",DEM,293,5.91
BEAVER,"CONKLIN, HARRY   SCOTT",DEM,646,3.08
BEDFORD,"CONKLIN, HARRY   SCOTT",DEM,"1,196",53.78
BERKS,"CONKLIN, HARRY   SCOTT",DEM,"2,354",6.47
BLAIR,"CONKLIN, HARRY   SCOTT",DEM,"4,362",59.21
BRADFORD,"CONKLIN, HARRY   SCOTT",DEM,476,17.50
BUCKS,"CONKLIN, HARRY   SCOTT",DEM,"3,232",4.27
BUTLER,"CONKLIN, HARRY   SCOTT",DEM,565,3.51
CAMBRIA,"CONKLIN, HARRY   SCOTT",DEM,"7,737",54.48
CAMERON,"CONKLIN, HARRY   SCOTT",DEM,199,61.23
CARBON,"CONKLIN, HARRY   SCOTT",DEM,459,8.86
CENTRE,"CONKLIN, HARRY   SCOTT",DEM,"12,544",71.45
CHESTER,"CONKLIN, HARRY   SCOTT",DEM,"2,298",3.48
CLARION,"CONKLIN, HARRY   SCOTT",DEM,252,9.55
CLEARFIELD,"CONKLIN, HARRY   SCOTT",DEM,"4,377",75.84
CLINTON,"CONKLIN, HARRY   SCOTT",DEM,"2,032",71.20
COLUMBIA,"CONKLIN, HARRY   SCOTT",DEM,"1,067",23.48
CRAWFORD,"CONKLIN, HARRY   SCOTT",DEM,456,8.44
CUMBERLAND,"CONKLIN, HARRY   SCOTT",DEM,"2,906",11.78
DAUPHIN,"CONKLIN, HARRY   SCOTT",DEM,"1,879",5.60
DELAWARE,"CONKLIN, HARRY   SCOTT",DEM,"2,662",3.76
ELK,"CONKLIN, HARRY   SCOTT",DEM,"1,574",54.20
ERIE,"CONKLIN, HARRY   SCOTT",DEM,"3,542",11.02
FAYETTE,"CONKLIN, HARRY   SCOTT",DEM,514,4.41
FOREST,"CONKLIN, HARRY   SCOTT",DEM,46,12.43
FRANKLIN,"CONKLIN, HARRY   SCOTT",DEM,"1,166",14.11
FULTON,"CONKLIN, HARRY   SCOTT",DEM,213,37.57
GREENE,"CONKLIN, HARRY   SCOTT",DEM,243,6.59
HUNTINGDON,"CONKLIN, HARRY   SCOTT",DEM,"1,603",64.72
INDIANA,"CONKLIN, HARRY   SCOTT",DEM,927,13.80
JEFFERSON,"CONKLIN, HARRY   SCOTT",DEM,983,40.62
JUNIATA,"CONKLIN, HARRY   SCOTT",DEM,633,52.27
LACKAWANNA,"CONKLIN, HARRY   SCOTT",DEM,"2,069",6.95
LANCASTER,"CONKLIN, HARRY   SCOTT",DEM,"1,094",2.59
LAWRENCE,"CONKLIN, HARRY   SCOTT",DEM,220,2.73
LEBANON,"CONKLIN, HARRY   SCOTT",DEM,518,6.08
LEHIGH,"CONKLIN, HARRY   SCOTT",DEM,"2,892",8.21
LUZERNE,"CONKLIN, HARRY   SCOTT",DEM,"3,334",11.23
LYCOMING,"CONKLIN, HARRY   SCOTT",DEM,"2,460",35.79
McKEAN,"CONKLIN, HARRY   SCOTT",DEM,444,23.74
MERCER,"CONKLIN, HARRY   SCOTT",DEM,605,7.22
MIFFLIN,"CONKLIN, HARRY   SCOTT",DEM,"1,378",69.18
MONROE,"CONKLIN, HARRY   SCOTT",DEM,264,1.70
MONTGOMERY,"CONKLIN, HARRY   SCOTT",DEM,"5,906",4.56
MONTOUR,"CONKLIN, HARRY   SCOTT",DEM,352,23.82
