County,Candidate Name,Party,Votes,% of Vote
ARMSTRONG,"FULTON, CHRISTINA  JOY",DEM,"1,097",19.43
BUTLER,"FULTON, CHRISTINA  JOY",DEM,"1,948",24.73
CAMBRIA,"FULTON, CHRISTINA  JOY",DEM,"6,342",23.56
CAMERON,"FULTON, CHRISTINA  JOY",DEM,209,23.12
CENTRE,"FULTON, CHRISTINA  JOY",DEM,"4,917",22.45
CLARION,"FULTON, CHRISTINA  JOY",DEM,"1,760",24.46
CLEARFIELD,"FULTON, CHRISTINA  JOY",DEM,"3,894",24.46
ELK,"FULTON, CHRISTINA  JOY",DEM,"2,020",23.62
FOREST,"FULTON, CHRISTINA  JOY",DEM,305,27.55
INDIANA,"FULTON, CHRISTINA  JOY",DEM,"4,892",24.44
JEFFERSON,"FULTON, CHRISTINA  JOY",DEM,"1,563",23.82
McKEAN,"FULTON, CHRISTINA  JOY",DEM,"1,450",24.79
VENANGO,"FULTON, CHRISTINA  JOY",DEM,"2,645",24.07
WARREN,"FULTON, CHRISTINA  JOY",DEM,"1,988",27.52
ARMSTRONG,"FAIRMAN, RONALD",DEM,910,16.11
BUTLER,"FAIRMAN, RONALD",DEM,"1,698",21.55
CAMBRIA,"FAIRMAN, RONALD",DEM,"5,574",20.70
CAMERON,"FAIRMAN, RONALD",DEM,186,20.58
CENTRE,"FAIRMAN, RONALD",DEM,"4,307",19.66
CLARION,"FAIRMAN, RONALD",DEM,"1,517",21.09
CLEARFIELD,"FAIRMAN, RONALD",DEM,"3,444",21.63
ELK,"FAIRMAN, RONALD",DEM,"1,757",20.54
FOREST,"FAIRMAN, RONALD",DEM,270,24.39
INDIANA,"FAIRMAN, RONALD",DEM,"4,684",23.40
JEFFERSON,"FAIRMAN, RONALD",DEM,"1,449",22.08
McKEAN,"FAIRMAN, RONALD",DEM,"1,248",21.33
VENANGO,"FAIRMAN, RONALD",DEM,"2,301",20.94
WARREN,"FAIRMAN, RONALD",DEM,"1,696",23.48
ARMSTRONG,"PASCAL, CHARLES  A",DEM,788,13.95
