County,Candidate Name,Party,Votes,% of Vote
PHILADELPHIA,"ROAT, AMY  NICOLE",DEM,"27,603",5.59
PHILADELPHIA,"ROBINSON, PAMELA",DEM,"58,448",11.84
PHILADELPHIA,"POWLEY, ELIZABETH  J",DEM,"27,436",5.56
PHILADELPHIA,"BELLMON, ANTHONY  ANDREW",DEM,"53,127",10.76
PHILADELPHIA,"PARKINSON, PATRICK",DEM,"52,449",10.63
PHILADELPHIA,"KIRSCH, THEODORE",DEM,"50,809",10.29
PHILADELPHIA,"LOCKMAN, MICHELE",DEM,"55,769",11.30
PHILADELPHIA,"SONGSTER, KEMPIS  P",DEM,"19,244",3.90
PHILADELPHIA,"JOSEPH, RONALD  RAJU",DEM,"18,360",3.72
PHILADELPHIA,"HAW, LORRAINE  EUGENIA",DEM,"21,532",4.36
PHILADELPHIA,"TENNANT, ADAM  WILLIAM",DEM,"18,309",3.71
PHILADELPHIA,"GOOD, VAYDA  SAVANNAH",DEM,"20,633",4.18
PHILADELPHIA,"QUINONES, ALVARO",DEM,"21,872",4.43
PHILADELPHIA,"GETZES COHEN, MONA  B",DEM,"48,028",9.73
