County,Candidate Name,Party,Votes,% of Vote
PHILADELPHIA,"POPE, HEATHER  ASHLEY",DEM,"52,042",2.83
PHILADELPHIA,"TINARI, NINA  C",DEM,"119,789",6.52
PHILADELPHIA,"VOUTSINAS-KLOSE, OWEN",DEM,"100,595",5.47
PHILADELPHIA,"COHEN, SHERRIE  JOYCE",DEM,"54,215",2.95
PHILADELPHIA,"WANG, ALEXANDER  ANLIN",DEM,"47,313",2.58
PHILADELPHIA,"PAUL, STEVE",DEM,"40,346",2.20
PHILADELPHIA,"BASS, CINDY  M",DEM,"117,328",6.39
PHILADELPHIA,"GUPTA, ANUJ",DEM,"110,696",6.02
PHILADELPHIA,"COOPER, CHARLENE",DEM,"112,834",6.14
PHILADELPHIA,"BEER, JOANNE  CAROLYN",DEM,"46,710",2.54
PHILADELPHIA,"PRESCOD, PAUL  LLEWELLYN",DEM,"37,717",2.05
PHILADELPHIA,"CONFOY, DAISY  K",DEM,"45,281",2.46
PHILADELPHIA,"GILLEN, TERRY  ANN",DEM,"112,216",6.11
PHILADELPHIA,"WASHINGTON, KEN",DEM,"114,356",6.22
PHILADELPHIA,"COHEN, ARIELLE",DEM,"45,044",2.45
PHILADELPHIA,"WARD, WYNNETTA  V",DEM,"112,975",6.15
PHILADELPHIA,"CEA, SERGIO  E",DEM,"38,991",2.12
PHILADELPHIA,"KENYATTA, MALCOLM  M",DEM,"117,884",6.42
PHILADELPHIA,"MILLER, MATTHEW  JORDAN",DEM,"105,418",5.74
PHILADELPHIA,"LI, LINDY",DEM,"108,360",5.90
PHILADELPHIA,"CAHILL, JACK   A",DEM,"37,424",2.04
PHILADELPHIA,"LAUFER, DANIEL  JACOB",DEM,"35,272",1.92
PHILADELPHIA,"LE'COIN, CARLA  B",DEM,"42,442",2.31
PHILADELPHIA,"BORST, CHRISTINA  MARIE",DEM,"43,915",2.39
PHILADELPHIA,"MERCER, BRYAN  SCOTT",DEM,"38,228",2.08
