County,Candidate Name,Party,Votes,% of Vote
LACKAWANNA,"STRISH, DOLORES",REP,"2,942",9.14
LUZERNE,"STRISH, DOLORES",REP,"7,302",16.29
MONROE,"STRISH, DOLORES",REP,"1,246",7.57
PIKE,"STRISH, DOLORES",REP,"1,147",9.79
WAYNE,"STRISH, DOLORES",REP,"1,338",8.47
LACKAWANNA,"HUTCHISON, JAMES  PAUL",REP,"3,618",11.24
LUZERNE,"HUTCHISON, JAMES  PAUL",REP,"4,735",10.56
MONROE,"HUTCHISON, JAMES  PAUL",REP,"2,035",12.36
PIKE,"HUTCHISON, JAMES  PAUL",REP,"1,664",14.20
WAYNE,"HUTCHISON, JAMES  PAUL",REP,"2,374",15.03
LACKAWANNA,"TYLER, ANNMARIE  M",REP,"4,374",13.59
LUZERNE,"TYLER, ANNMARIE  M",REP,"4,922",10.98
MONROE,"TYLER, ANNMARIE  M",REP,"2,043",12.41
PIKE,"TYLER, ANNMARIE  M",REP,"1,493",12.74
WAYNE,"TYLER, ANNMARIE  M",REP,"2,317",14.67
LACKAWANNA,"VILLANO, TERESA  LYNETTE",REP,"2,430",7.55
LUZERNE,"VILLANO, TERESA  LYNETTE",REP,"5,066",11.30
MONROE,"VILLANO, TERESA  LYNETTE",REP,"1,038",6.31
PIKE,"VILLANO, TERESA  LYNETTE",REP,767,6.54
WAYNE,"VILLANO, TERESA  LYNETTE",REP,816,5.17
LACKAWANNA,"MILLER, DOUGLAS  J",REP,"4,855",15.08
LUZERNE,"MILLER, DOUGLAS  J",REP,"5,605",12.50
MONROE,"MILLER, DOUGLAS  J",REP,"2,433",14.78
PIKE,"MILLER, DOUGLAS  J",REP,"1,836",15.66
WAYNE,"MILLER, DOUGLAS  J",REP,"3,337",21.13
LACKAWANNA,"WELLS, JOHN  W",REP,"2,815",8.74
LUZERNE,"WELLS, JOHN  W",REP,"3,740",8.34
MONROE,"WELLS, JOHN  W",REP,"1,932",11.74
PIKE,"WELLS, JOHN  W",REP,"1,448",12.35
WAYNE,"WELLS, JOHN  W",REP,"1,791",11.34
LACKAWANNA,"MASTRI, DOMINIC  J",REP,"4,752",14.76
LUZERNE,"MASTRI, DOMINIC  J",REP,"3,024",6.74
MONROE,"MASTRI, DOMINIC  J",REP,"1,411",8.57
PIKE,"MASTRI, DOMINIC  J",REP,908,7.75
WAYNE,"MASTRI, DOMINIC  J",REP,"1,005",6.36
LACKAWANNA,"DEFABO, PAUL",REP,"2,587",8.04
LUZERNE,"DEFABO, PAUL",REP,"6,083",13.57
MONROE,"DEFABO, PAUL",REP,"1,234",7.50
PIKE,"DEFABO, PAUL",REP,"1,051",8.97
WAYNE,"DEFABO, PAUL",REP,"1,187",7.52
LACKAWANNA,"FERRO, JOSEPHINE",REP,"3,819",11.86
LUZERNE,"FERRO, JOSEPHINE",REP,"4,357",9.72
MONROE,"FERRO, JOSEPHINE",REP,"3,087",18.76
PIKE,"FERRO, JOSEPHINE",REP,"1,407",12.00
WAYNE,"FERRO, JOSEPHINE",REP,"1,629",10.31
