County,Candidate Name,Party,Votes,% of Vote
ADAMS,"SANDERS, BERNARD",DEM,"1,237",16.73
ALLEGHENY,"SANDERS, BERNARD",DEM,"46,532",20.69
ARMSTRONG,"SANDERS, BERNARD",DEM,797,17.24
BEAVER,"SANDERS, BERNARD",DEM,"3,226",15.69
BEDFORD,"SANDERS, BERNARD",DEM,319,15.65
BERKS,"SANDERS, BERNARD",DEM,"7,614",19.53
BLAIR,"SANDERS, BERNARD",DEM,"1,537",21.29
BRADFORD,"SANDERS, BERNARD",DEM,518,17.86
BUCKS,"SANDERS, BERNARD",DEM,"12,931",15.61
BUTLER,"SANDERS, BERNARD",DEM,"2,613",16.05
CAMBRIA,"SANDERS, BERNARD",DEM,"2,357",18.04
CAMERON,"SANDERS, BERNARD",DEM,64,21.99
CARBON,"SANDERS, BERNARD",DEM,922,17.13
CENTRE,"SANDERS, BERNARD",DEM,"4,373",24.92
CHESTER,"SANDERS, BERNARD",DEM,"11,328",15.82
CLARION,"SANDERS, BERNARD",DEM,427,17.51
CLEARFIELD,"SANDERS, BERNARD",DEM,924,17.70
CLINTON,"SANDERS, BERNARD",DEM,513,18.74
COLUMBIA,"SANDERS, BERNARD",DEM,946,20.61
CRAWFORD,"SANDERS, BERNARD",DEM,"1,027",18.39
CUMBERLAND,"SANDERS, BERNARD",DEM,"4,820",18.81
DAUPHIN,"SANDERS, BERNARD",DEM,"5,876",17.07
DELAWARE,"SANDERS, BERNARD",DEM,"12,563",16.01
ELK,"SANDERS, BERNARD",DEM,476,17.80
ERIE,"SANDERS, BERNARD",DEM,"6,486",18.58
FAYETTE,"SANDERS, BERNARD",DEM,"1,535",13.54
FOREST,"SANDERS, BERNARD",DEM,32,8.84
FRANKLIN,"SANDERS, BERNARD",DEM,"1,546",17.57
FULTON,"SANDERS, BERNARD",DEM,88,17.29
GREENE,"SANDERS, BERNARD",DEM,521,16.14
HUNTINGDON,"SANDERS, BERNARD",DEM,468,20.20
INDIANA,"SANDERS, BERNARD",DEM,"1,139",17.52
JEFFERSON,"SANDERS, BERNARD",DEM,398,18.34
JUNIATA,"SANDERS, BERNARD",DEM,212,18.98
LACKAWANNA,"SANDERS, BERNARD",DEM,"4,689",13.65
LANCASTER,"SANDERS, BERNARD",DEM,"9,500",22.20
LAWRENCE,"SANDERS, BERNARD",DEM,"1,167",14.87
LEBANON,"SANDERS, BERNARD",DEM,"1,540",17.19
LEHIGH,"SANDERS, BERNARD",DEM,"7,370",18.85
LUZERNE,"SANDERS, BERNARD",DEM,"5,393",16.60
LYCOMING,"SANDERS, BERNARD",DEM,"1,444",20.83
McKEAN,"SANDERS, BERNARD",DEM,358,18.27
MERCER,"SANDERS, BERNARD",DEM,"1,163",13.24
MIFFLIN,"SANDERS, BERNARD",DEM,352,18.22
MONROE,"SANDERS, BERNARD",DEM,"2,910",18.16
MONTGOMERY,"SANDERS, BERNARD",DEM,"23,019",16.18
MONTOUR,"SANDERS, BERNARD",DEM,272,17.73
NORTHAMPTON,"SANDERS, BERNARD",DEM,"6,396",18.18
NORTHUMBERLAND,"SANDERS, BERNARD",DEM,"1,011",18.65
PERRY,"SANDERS, BERNARD",DEM,514,19.34
PHILADELPHIA,"SANDERS, BERNARD",DEM,"57,690",19.15
PIKE,"SANDERS, BERNARD",DEM,736,16.48
POTTER,"SANDERS, BERNARD",DEM,121,16.01
SCHUYLKILL,"SANDERS, BERNARD",DEM,"1,827",18.54
SNYDER,"SANDERS, BERNARD",DEM,372,18.47
SOMERSET,"SANDERS, BERNARD",DEM,733,16.10
SULLIVAN,"SANDERS, BERNARD",DEM,74,14.18
SUSQUEHANNA,"SANDERS, BERNARD",DEM,403,16.24
TIOGA,"SANDERS, BERNARD",DEM,387,19.19
UNION,"SANDERS, BERNARD",DEM,614,19.85
VENANGO,"SANDERS, BERNARD",DEM,538,16.10
WARREN,"SANDERS, BERNARD",DEM,348,13.67
WASHINGTON,"SANDERS, BERNARD",DEM,"3,484",14.66
WAYNE,"SANDERS, BERNARD",DEM,710,18.68
WESTMORELAND,"SANDERS, BERNARD",DEM,"6,214",15.79
WYOMING,"SANDERS, BERNARD",DEM,363,17.70
YORK,"SANDERS, BERNARD",DEM,"5,792",17.37
ADAMS,"BIDEN, JOSEPH  ROBINETTE",DEM,"5,936",80.28
ALLEGHENY,"BIDEN, JOSEPH  ROBINETTE",DEM,"171,348",76.18
ARMSTRONG,"BIDEN, JOSEPH  ROBINETTE",DEM,"3,508",75.90
BEAVER,"BIDEN, JOSEPH  ROBINETTE",DEM,"16,299",79.29
BEDFORD,"BIDEN, JOSEPH  ROBINETTE",DEM,"1,626",79.78
BERKS,"BIDEN, JOSEPH  ROBINETTE",DEM,"30,083",77.18
BLAIR,"BIDEN, JOSEPH  ROBINETTE",DEM,"5,385",74.58
BRADFORD,"BIDEN, JOSEPH  ROBINETTE",DEM,"2,264",78.07
BUCKS,"BIDEN, JOSEPH  ROBINETTE",DEM,"68,214",82.34
BUTLER,"BIDEN, JOSEPH  ROBINETTE",DEM,"12,916",79.35
CAMBRIA,"BIDEN, JOSEPH  ROBINETTE",DEM,"9,621",73.62
CAMERON,"BIDEN, JOSEPH  ROBINETTE",DEM,205,70.45
CARBON,"BIDEN, JOSEPH  ROBINETTE",DEM,"4,197",77.98
CENTRE,"BIDEN, JOSEPH  ROBINETTE",DEM,"12,745",72.63
CHESTER,"BIDEN, JOSEPH  ROBINETTE",DEM,"59,349",82.89
CLARION,"BIDEN, JOSEPH  ROBINETTE",DEM,"1,852",75.93
CLEARFIELD,"BIDEN, JOSEPH  ROBINETTE",DEM,"3,914",74.97
CLINTON,"BIDEN, JOSEPH  ROBINETTE",DEM,"2,089",76.32
COLUMBIA,"BIDEN, JOSEPH  ROBINETTE",DEM,"3,410",74.31
CRAWFORD,"BIDEN, JOSEPH  ROBINETTE",DEM,"4,316",77.28
CUMBERLAND,"BIDEN, JOSEPH  ROBINETTE",DEM,"20,069",78.33
DAUPHIN,"BIDEN, JOSEPH  ROBINETTE",DEM,"27,808",80.79
DELAWARE,"BIDEN, JOSEPH  ROBINETTE",DEM,"65,024",82.85
ELK,"BIDEN, JOSEPH  ROBINETTE",DEM,"1,979",74.01
ERIE,"BIDEN, JOSEPH  ROBINETTE",DEM,"27,310",78.25
FAYETTE,"BIDEN, JOSEPH  ROBINETTE",DEM,"9,183",80.99
FOREST,"BIDEN, JOSEPH  ROBINETTE",DEM,313,86.46
FRANKLIN,"BIDEN, JOSEPH  ROBINETTE",DEM,"6,948",78.95
FULTON,"BIDEN, JOSEPH  ROBINETTE",DEM,391,76.82
GREENE,"BIDEN, JOSEPH  ROBINETTE",DEM,"2,519",78.04
HUNTINGDON,"BIDEN, JOSEPH  ROBINETTE",DEM,"1,743",75.23
INDIANA,"BIDEN, JOSEPH  ROBINETTE",DEM,"5,057",77.78
JEFFERSON,"BIDEN, JOSEPH  ROBINETTE",DEM,"1,633",75.25
JUNIATA,"BIDEN, JOSEPH  ROBINETTE",DEM,820,73.41
LACKAWANNA,"BIDEN, JOSEPH  ROBINETTE",DEM,"28,439",82.78
LANCASTER,"BIDEN, JOSEPH  ROBINETTE",DEM,"32,324",75.53
LAWRENCE,"BIDEN, JOSEPH  ROBINETTE",DEM,"6,329",80.62
LEBANON,"BIDEN, JOSEPH  ROBINETTE",DEM,"7,107",79.33
LEHIGH,"BIDEN, JOSEPH  ROBINETTE",DEM,"30,860",78.92
LUZERNE,"BIDEN, JOSEPH  ROBINETTE",DEM,"25,656",78.95
LYCOMING,"BIDEN, JOSEPH  ROBINETTE",DEM,"5,161",74.46
McKEAN,"BIDEN, JOSEPH  ROBINETTE",DEM,"1,520",77.55
MERCER,"BIDEN, JOSEPH  ROBINETTE",DEM,"7,401",84.25
MIFFLIN,"BIDEN, JOSEPH  ROBINETTE",DEM,"1,451",75.10
MONROE,"BIDEN, JOSEPH  ROBINETTE",DEM,"12,785",79.80
MONTGOMERY,"BIDEN, JOSEPH  ROBINETTE",DEM,"117,171",82.35
MONTOUR,"BIDEN, JOSEPH  ROBINETTE",DEM,"1,180",76.92
NORTHAMPTON,"BIDEN, JOSEPH  ROBINETTE",DEM,"27,849",79.16
NORTHUMBERLAND,"BIDEN, JOSEPH  ROBINETTE",DEM,"4,109",75.81
PERRY,"BIDEN, JOSEPH  ROBINETTE",DEM,"1,988",74.79
PHILADELPHIA,"BIDEN, JOSEPH  ROBINETTE",DEM,"239,130",79.39
PIKE,"BIDEN, JOSEPH  ROBINETTE",DEM,"3,647",81.66
POTTER,"BIDEN, JOSEPH  ROBINETTE",DEM,595,78.70
SCHUYLKILL,"BIDEN, JOSEPH  ROBINETTE",DEM,"7,403",75.12
SNYDER,"BIDEN, JOSEPH  ROBINETTE",DEM,"1,567",77.81
SOMERSET,"BIDEN, JOSEPH  ROBINETTE",DEM,"3,483",76.52
SULLIVAN,"BIDEN, JOSEPH  ROBINETTE",DEM,417,79.89
SUSQUEHANNA,"BIDEN, JOSEPH  ROBINETTE",DEM,"1,972",79.48
TIOGA,"BIDEN, JOSEPH  ROBINETTE",DEM,"1,539",76.30
UNION,"BIDEN, JOSEPH  ROBINETTE",DEM,"2,412",77.98
VENANGO,"BIDEN, JOSEPH  ROBINETTE",DEM,"2,622",78.46
