County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
ADAMS,"ROWLEY, RAYMOND  TODD",DEM,0,0,0,0,0.00
BEDFORD,"ROWLEY, RAYMOND  TODD",DEM,0,0,0,0,0.00
BLAIR,"ROWLEY, RAYMOND  TODD",DEM,0,0,0,0,0.00
CAMBRIA,"ROWLEY, RAYMOND  TODD",DEM,0,0,0,0,0.00
CUMBERLAND,"ROWLEY, RAYMOND  TODD",DEM,0,0,0,0,0.00
FRANKLIN,"ROWLEY, RAYMOND  TODD",DEM,0,0,0,0,0.00
FULTON,"ROWLEY, RAYMOND  TODD",DEM,0,0,0,0,0.00
HUNTINGDON,"ROWLEY, RAYMOND  TODD",DEM,0,0,0,0,0.00
SOMERSET,"ROWLEY, RAYMOND  TODD",DEM,0,0,0,0,0.00
WESTMORELAND,"ROWLEY, RAYMOND  TODD",DEM,0,0,0,0,0.00
ADAMS,"JOYCE, JOHN",REP,0,0,0,0,0.00
BEDFORD,"JOYCE, JOHN",REP,0,0,0,0,0.00
BLAIR,"JOYCE, JOHN",REP,0,0,0,0,0.00
CAMBRIA,"JOYCE, JOHN",REP,0,0,0,0,0.00
CUMBERLAND,"JOYCE, JOHN",REP,0,0,0,0,0.00
FRANKLIN,"JOYCE, JOHN",REP,0,0,0,0,0.00
FULTON,"JOYCE, JOHN",REP,0,0,0,0,0.00
HUNTINGDON,"JOYCE, JOHN",REP,0,0,0,0,0.00
SOMERSET,"JOYCE, JOHN",REP,0,0,0,0,0.00
WESTMORELAND,"JOYCE, JOHN",REP,0,0,0,0,0.00
