County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
LACKAWANNA,"CARTWRIGHT, MATTHEW  ALTON",DEM,0,0,0,0,0.00
LUZERNE,"CARTWRIGHT, MATTHEW  ALTON",DEM,0,0,0,0,0.00
MONROE,"CARTWRIGHT, MATTHEW  ALTON",DEM,0,0,0,0,0.00
PIKE,"CARTWRIGHT, MATTHEW  ALTON",DEM,0,0,0,0,0.00
WAYNE,"CARTWRIGHT, MATTHEW  ALTON",DEM,0,0,0,0,0.00
LACKAWANNA,"BOGNET, JAMES  ROCCO",REP,0,0,0,0,0.00
LUZERNE,"BOGNET, JAMES  ROCCO",REP,0,0,0,0,0.00
MONROE,"BOGNET, JAMES  ROCCO",REP,0,0,0,0,0.00
PIKE,"BOGNET, JAMES  ROCCO",REP,0,0,0,0,0.00
WAYNE,"BOGNET, JAMES  ROCCO",REP,0,0,0,0,0.00
