County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
BUTLER,"STROMYER, SHELBIE  LYNN",DEM,0,0,0,0,0.00
CLARION,"STROMYER, SHELBIE  LYNN",DEM,0,0,0,0,0.00
FOREST,"STROMYER, SHELBIE  LYNN",DEM,0,0,0,0,0.00
VENANGO,"STROMYER, SHELBIE  LYNN",DEM,0,0,0,0,0.00
WARREN,"STROMYER, SHELBIE  LYNN",DEM,0,0,0,0,0.00
BUTLER,"HUTCHINSON, SCOTT  E",REP,0,0,0,0,0.00
CLARION,"HUTCHINSON, SCOTT  E",REP,0,0,0,0,0.00
FOREST,"HUTCHINSON, SCOTT  E",REP,0,0,0,0,0.00
VENANGO,"HUTCHINSON, SCOTT  E",REP,0,0,0,0,0.00
WARREN,"HUTCHINSON, SCOTT  E",REP,0,0,0,0,0.00
