County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
BRADFORD,"BAKER, JACLYN  E",DEM,0,0,0,0,0.00
LYCOMING,"BAKER, JACLYN  E",DEM,0,0,0,0,0.00
SULLIVAN,"BAKER, JACLYN  E",DEM,0,0,0,0,0.00
SUSQUEHANNA,"BAKER, JACLYN  E",DEM,0,0,0,0,0.00
UNION,"BAKER, JACLYN  E",DEM,0,0,0,0,0.00
BRADFORD,"YAW, EMERSON  EUGENE",REP,0,0,0,0,0.00
LYCOMING,"YAW, EMERSON  EUGENE",REP,0,0,0,0,0.00
SULLIVAN,"YAW, EMERSON  EUGENE",REP,0,0,0,0,0.00
SUSQUEHANNA,"YAW, EMERSON  EUGENE",REP,0,0,0,0,0.00
UNION,"YAW, EMERSON  EUGENE",REP,0,0,0,0,0.00
