County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
CAMERON,"BROWN, MARGARET  SATTERWHITE",DEM,0,0,0,0,0.00
CLEARFIELD,"BROWN, MARGARET  SATTERWHITE",DEM,0,0,0,0,0.00
CLINTON,"BROWN, MARGARET  SATTERWHITE",DEM,0,0,0,0,0.00
ELK,"BROWN, MARGARET  SATTERWHITE",DEM,0,0,0,0,0.00
JEFFERSON,"BROWN, MARGARET  SATTERWHITE",DEM,0,0,0,0,0.00
McKEAN,"BROWN, MARGARET  SATTERWHITE",DEM,0,0,0,0,0.00
POTTER,"BROWN, MARGARET  SATTERWHITE",DEM,0,0,0,0,0.00
TIOGA,"BROWN, MARGARET  SATTERWHITE",DEM,0,0,0,0,0.00
CAMERON,"DUSH, CRIS",REP,0,0,0,0,0.00
CLEARFIELD,"DUSH, CRIS",REP,0,0,0,0,0.00
CLINTON,"DUSH, CRIS",REP,0,0,0,0,0.00
ELK,"DUSH, CRIS",REP,0,0,0,0,0.00
JEFFERSON,"DUSH, CRIS",REP,0,0,0,0,0.00
McKEAN,"DUSH, CRIS",REP,0,0,0,0,0.00
POTTER,"DUSH, CRIS",REP,0,0,0,0,0.00
TIOGA,"DUSH, CRIS",REP,0,0,0,0,0.00
