County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
ADAMS,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
ALLEGHENY,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
ARMSTRONG,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
BEAVER,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
BEDFORD,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
BERKS,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
BLAIR,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
BRADFORD,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
BUCKS,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
BUTLER,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
CAMBRIA,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
CAMERON,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
CARBON,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
CENTRE,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
CHESTER,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
CLARION,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
CLEARFIELD,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
CLINTON,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
COLUMBIA,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
CRAWFORD,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
CUMBERLAND,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
DAUPHIN,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
DELAWARE,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
ELK,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
ERIE,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
FAYETTE,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
FOREST,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
FRANKLIN,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
FULTON,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
GREENE,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
HUNTINGDON,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
INDIANA,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
JEFFERSON,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
JUNIATA,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
LACKAWANNA,"TORSELLA, JOSEPH  M",DEM,0,0,0,0,0.00
